InstanceName,glucose_2.0,glueminisat-2.2.5,lingeling-587f-4882048-110513,minisathackcir_minisat_2011.05.13_simp_,minisathackcontrasat_2011.03.02,minisathackEBMiniSAT_2011.03.02,minisathackLR_GL_SHR_2011.03.02,minisathackMiniSAT_2.2.0.agile.26,minisathackminisat_psm_2011.04.01,minisathackreferenceminisat_2.2.0,MPhaseSAT64,rcl_2011.04.01,RestartSAT_B95,SAT09referencesolverprecosat_236
aes_32_5_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_64_1_keyfind_1.cnf,2436.77,5000,5000,232.46,1242.98,5000,5000,432.99,5000,1213.52,211.20,5000,5000,265.29
aes_64_2_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_64_3_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_64_4_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
allused-assat04-986.cnf,55.95,12.95,10.94,68.13,31.71,39.32,52.90,24.86,19.18,70.45,24.80,36.09,49.16,27.74
am_7_7shuffled-assat03-363.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
AProVE07-01.cnf,5000,4079.25,5000,5000,5000,5000,5000,5000,4100.73,5000,1917.07,5000,5000,5000
AProVE07-03.cnf,640.78,116.55,458.58,2100.81,1257.11,5000,1327.16,785.06,597.62,2612.50,646.86,904.79,2210.49,1769.89
AProVE07-21.cnf,77.93,27.85,127.38,307.28,239.89,241.77,87.31,202.33,35.05,350.91,168.42,77.65,341.84,289.98
AProVE11-02.cnf,1.04,1.63,14.25,1.08,1.55,1.45,1.78,1.75,2.51,0.84,10.64,3.10,1.82,4.58
AProVE11-06.cnf,5000,2429.35,2875.95,4233.79,2680.39,1696.79,2819.36,1442.10,3736.71,3207.28,3451.93,3543.93,2200.82,2421.06
AProVE11-07.cnf,5.54,4.11,26.95,3.69,3.49,5.42,3.96,4.88,4.68,1.32,13.09,5.19,4.06,13.76
AProVE11-09.cnf,0.10,0.44,5.43,0.19,0.38,0.45,0.39,0.38,0.78,0.17,4.53,0.84,0.45,1.18
AProVE11-10.cnf,66.71,4.42,20.19,1.44,10.70,3.53,2.80,8.21,28.67,3.64,26.48,4.35,12.48,5.75
AProVE11-11.cnf,18.72,10.64,30.27,24.19,11.96,11.33,13.00,11.01,15.93,20.16,34.61,11.83,19.54,28.36
AProVE11-12.cnf,0.15,0.28,2.86,0.18,0.27,0.27,0.27,0.27,0.45,0.21,2.38,0.48,0.27,0.79
AProVE11-13.cnf,8.93,3.85,29.99,2.82,4.71,3.64,3.75,3.82,5.48,3.59,14.75,6.68,1.52,18.62
AProVE11-15.cnf,1.58,14.22,13.70,11.04,8.61,2.93,8.62,4.11,2.23,2.03,4.91,1.92,6.05,4.16
AProVE11-16.cnf,0.68,0.71,7.49,0.89,0.71,0.66,0.60,0.61,1.06,0.75,6.31,1.15,0.68,1.66
bart17shuffled.cnf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00
bc57-sensors-1-k303-unsatshuffled-assat03-406.cnf,5000,945.66,754.36,4411.15,1311.92,990.62,1263.45,892.64,1222.60,4107.14,1103.07,921.86,3420.40,1089.47
blocks-4-ipc5-h21-unknown.cnf,49.63,10.38,24.37,56.04,15.06,10.36,13.67,11.16,8.95,60.14,12.51,10.25,38.78,33.76
blocks-blocks-36-0120-NOTKNOWN.cnf,921.76,986.61,1014.07,2560.98,2734.36,1610.46,1865.18,2143.53,1544.85,1905.71,718.59,1732.67,1427.06,508.78
blocks-blocks-36-0160-NOTKNOWN.cnf,66.97,28.17,34.94,21.64,34.86,36.24,41.33,23.42,12.58,21.00,68.88,92.01,37.62,190.85
blocks-blocks-36-0170-NOTKNOWN.cnf,54.62,72.32,43.27,31.14,20.80,45.84,31.46,121.84,94.25,166.87,72.64,37.57,27.44,223.39
blocks-blocks-36-0180-SAT.cnf,21.23,27.46,47.31,68.97,142.36,55.89,18.98,39.06,169.05,10.24,152.75,46.43,34.88,212.24
blocks-blocks-37-1120-NOTKNOWN.cnf,46.01,49.61,53.97,88.66,108.77,110.26,61.27,68.92,71.61,61.84,148.08,64.56,52.87,160.18
blocks-blocks-37-1130-NOTKNOWN.cnf,679.35,694.46,506.05,1002.10,1489.08,949.04,980.33,1481.11,1268.37,1286.37,651.98,674.36,692.61,338.46
blocks-blocks-37-1150-SAT.cnf,18.15,15.90,49.68,16.87,19.07,31.45,14.00,16.27,49.39,10.96,107.32,65.36,32.79,153.73
c10idw_i.cnf,88.54,23.57,38.40,236.75,42.63,30.89,26.82,43.38,23.75,144.53,42.82,33.24,113.43,63.05
c6288mulmitershuffled-assat03-346.cnf,2635.31,268.81,5000,5000,5000,5000,2321.19,5000,5000,5000,5000,5000,5000,5000
clauses-8renamed-assat05-1964.cnf,510.71,3327.16,476.35,961.20,238.94,158.99,5000,193.49,845.51,1687.44,102.14,865.66,2715.40,1274.44
comb1shuffled.cnf,5000,86.71,5000,2826.75,396.56,350.12,83.05,5000,2668.43,2295.99,5000,2555.15,3449.04,5000
countbitsarray04_32.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
countbitsrotate032.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
countbitssrl064.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
countbitswegner128.cnf,5000,3484.20,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
cube-11-h14-sat.cnf,1578.64,344.14,4469.04,722.40,1501.15,530.31,962.98,1319.64,819.33,2177.29,5000,1222.99,645.23,5000
dated-10-17-u.cnf,2834.19,2788.97,2361.04,5000,5000,5000,5000,5000,3412.93,5000,5000,5000,5000,3057.97
dated-5-11-u.cnf,35.44,27.96,13.24,37.33,59.88,42.07,55.54,37.83,32.45,35.47,22.65,28.91,38.09,23.56
dated-5-13-u.cnf,4032.26,4406.05,4013.75,5000,5000,5000,5000,5000,4253.50,5000,5000,5000,5000,4491.40
dekkerused-assat04-989.cnf,4.93,3.13,3.07,16.83,8.41,10.06,14.77,23.36,8.28,16.73,27.03,7.83,13.84,10.70
dme-03-1-k247-unsatshuffled-assat03-407.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
dp04s04shuffled.cnf,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.05,0.01,0.00,0.04
dp04u03shuffled.cnf,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.00,0.01
dp10s10shuffled.cnf,0.31,0.10,0.65,0.12,0.05,0.07,0.14,0.07,0.09,0.09,0.40,0.14,0.25,0.16
driverlog1_ks99irenamed-assat05-3951.cnf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
driverlog3_v01arenamed-assat05-3963.cnf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
dspam_dump_vc949.cnf,32.01,0.33,1.68,195.60,0.30,0.32,0.31,0.31,0.72,318.48,3.69,0.74,136.92,0.81
E00N23.cnf,3845.43,2954.00,5000,5000,5000,5000,5000,5000,4488.74,5000,5000,5000,5000,5000
E00X23.cnf,2339.00,5000,4368.56,5000,5000,5000,5000,5000,4440.33,5000,5000,5000,5000,5000
E02F17.cnf,20.68,15.99,34.43,40.95,61.69,43.64,25.18,55.52,25.83,37.49,53.53,56.26,31.99,38.04
E02F20.cnf,102.72,231.38,43.26,235.74,202.34,364.12,529.44,96.24,121.32,278.29,68.31,52.13,585.33,425.86
E02F22.cnf,189.18,592.47,477.52,256.86,456.20,319.04,2830.72,309.15,32.57,199.44,469.94,223.57,551.35,394.45
E03N17.cnf,0.67,1.10,2.28,1.35,1.39,1.33,1.15,0.86,0.91,0.86,1.92,1.81,0.62,2.54
E04F19.cnf,8.91,144.01,79.83,83.23,73.68,77.28,1752.88,74.78,31.54,18.16,309.44,16.44,104.23,34.52
E04F20.cnf,8.48,169.70,50.19,79.53,52.51,71.43,274.60,68.86,31.29,90.26,117.47,13.93,147.07,44.77
E04N18.cnf,0.08,0.77,1.98,0.09,0.78,0.75,0.78,0.75,0.41,0.07,2.42,0.50,0.08,3.20
E05F18.cnf,2.48,28.17,32.40,15.64,6.37,9.00,51.83,17.16,5.46,9.00,18.81,8.32,31.32,12.05
E05F20.cnf,0.97,76.23,113.18,40.05,47.24,57.32,426.35,69.48,10.93,30.10,94.79,23.73,51.01,128.29
E05X15.cnf,5.72,5.10,8.35,6.18,5.74,5.65,8.16,4.73,6.15,4.47,22.19,7.66,3.87,43.89
E07N15.cnf,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.00,0.01
E15N15.cnf,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.02,0.05,0.00,0.01
eqatreebraun11unsat.cnf,1466.87,1855.32,1270.69,3234.47,5000,5000,5000,1462.02,1636.79,5000,518.85,5000,4840.21,1532.68
eqatreebraun12unsat.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2178.19,5000,5000,5000
