InstanceName,glucose_2.0,glueminisat-2.2.5,lingeling-587f-4882048-110513,minisathackcir_minisat_2011.05.13_simp_,minisathackcontrasat_2011.03.02,minisathackEBMiniSAT_2011.03.02,minisathackLR_GL_SHR_2011.03.02,minisathackMiniSAT_2.2.0.agile.26,minisathackminisat_psm_2011.04.01,minisathackreferenceminisat_2.2.0,MPhaseSAT64,rcl_2011.04.01,RestartSAT_B95,SAT09referencesolverprecosat_236
11pipe_11_ooo.cnf,5000,3033.75,2043.20,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2668.91
11pipe_k.cnf,5000,665.69,522.79,885.20,756.70,5000,286.56,5000,5000,5000,2059.16,5000,514.45,1591.54
12pipe_bug4_q0used-assat04-723.cnf,232.58,41.11,35.83,160.79,36.10,30.35,30.70,42.36,10.76,6.27,11.06,56.30,26.67,35.70
12pipe_bug6_q0used-assat04-725.cnf,54.81,36.84,13.89,1.64,30.74,34.18,28.69,31.08,12.83,1.31,12.22,13.86,1.32,26.39
1dlx_c_iq57_a.cnf,1084.99,591.67,960.58,949.44,585.97,936.09,671.18,1291.99,5000,2014.74,1363.59,5000,2976.04,2003.46
1dlx_c_iq60_a.cnf,1572.36,841.02,1399.46,1333.84,721.30,1414.29,861.83,1163.42,5000,2746.65,1853.32,5000,3790.46,2576.66
2dlx_ca_bp_f_liveness.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
6pipe_6_oooshuffled-assat03-413.cnf,75.97,17.89,30.85,20.61,18.42,44.22,17.79,44.68,52.91,58.63,82.53,269.54,20.32,35.20
9dlx_vliw_at_b_iq6used-assat04-347.cnf,1132.23,919.29,637.63,2635.13,2760.54,5000,328.12,5000,5000,5000,5000,5000,5000,5000
9dlx_vliw_at_b_iq7.cnf,1824.18,1021.68,984.44,2183.59,2388.25,5000,446.48,5000,5000,5000,5000,5000,5000,4659.25
9dlx_vliw_at_b_iq8used-assat04-718.cnf,1670.59,1744.81,1632.78,5000,5000,5000,991.46,5000,5000,5000,2458.15,5000,5000,5000
9dlx_vliw_at_b_iq9used-assat04-719.cnf,2774.36,2282.62,2444.18,5000,5000,5000,1222.02,5000,5000,5000,2809.89,5000,5000,5000
