InstanceName,glucose_2.0,glueminisat-2.2.5,lingeling-587f-4882048-110513,minisathackcir_minisat_2011.05.13_simp_,minisathackcontrasat_2011.03.02,minisathackEBMiniSAT_2011.03.02,minisathackLR_GL_SHR_2011.03.02,minisathackMiniSAT_2.2.0.agile.26,minisathackminisat_psm_2011.04.01,minisathackreferenceminisat_2.2.0,MPhaseSAT64,rcl_2011.04.01,RestartSAT_B95,SAT09referencesolverprecosat_236
11pipe_11_ooo.cnf,5000,2292.78,1687.46,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2105.41
11pipe_k.cnf,5000,509.67,454.29,629.92,555.78,5000,201.03,5000,5000,5000,1900.24,5000,347.89,1385.17
12pipe_bug4_q0used-assat04-723.cnf,161.77,37.74,31.16,110.93,33.77,31.18,29.70,39.13,10.25,4.45,10.84,48.70,17.14,30.06
12pipe_bug6_q0used-assat04-725.cnf,41.12,34.55,12.66,1.28,29.82,35.95,27.89,30.71,11.80,1.09,11.77,13.16,1.11,23.62
1dlx_c_iq57_a.cnf,715.71,386.17,689.36,624.97,409.54,720.67,402.47,874.66,4139.46,1383.98,1120.80,5000,2023.70,1517.73
1dlx_c_iq60_a.cnf,1054.87,562.75,978.47,908.01,496.79,913.54,525.86,805.58,5000,1900.40,1554.04,5000,2611.85,2013.75
2dlx_ca_bp_f_liveness.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
6pipe_6_oooshuffled-assat03-413.cnf,69.65,15.31,29.00,16.83,15.69,35.87,14.71,35.34,48.02,45.53,79.82,252.73,16.98,29.29
9dlx_vliw_at_b_iq6used-assat04-347.cnf,897.94,678.18,519.22,1933.63,2006.56,5000,215.45,5000,5000,5000,5000,5000,5000,4424.69
9dlx_vliw_at_b_iq7.cnf,1401.36,737.07,771.64,1543.56,1742.71,5000,282.13,5000,5000,5000,5000,5000,5000,3485.92
9dlx_vliw_at_b_iq8used-assat04-718.cnf,1228.60,1232.59,1249.36,4864.53,4577.86,5000,613.93,5000,5000,5000,2100.66,5000,5000,5000
9dlx_vliw_at_b_iq9used-assat04-719.cnf,1990.57,1562.94,1779.08,5000,5000,5000,750.79,5000,5000,5000,2323.15,5000,5000,5000
9vliw_m_9stages_iq3_C1_bug5.cnf,3.79,37.36,38.12,32.21,42.36,37.41,160.17,38.90,7.80,14.35,104.15,17.09,32.23,176.97
9vliw_m_9stages_iq3_C1_bug6.cnf,4.18,43.86,58.80,5.35,58.15,47.12,113.17,35.71,10.22,11.40,128.57,18.29,63.72,109.50
aaai10-planning-ipc5-pathways-13-step17.cnf,665.17,553.62,225.79,1732.94,833.81,1718.96,2473.34,1427.52,1315.19,1696.88,947.88,1020.16,730.79,145.25
aaai10-planning-ipc5-pathways-17-step20.cnf,256.02,340.23,154.01,597.13,1032.91,499.26,1310.26,508.19,318.22,486.00,142.35,728.50,501.80,105.82
aaai10-planning-ipc5-pathways-17-step21.cnf,178.71,1867.50,477.15,3847.57,1208.44,5000,1851.25,2251.13,1268.26,487.96,54.24,5000,5000,85.98
aaai10-planning-ipc5-pipesworld-12-step15.cnf,110.26,134.99,144.65,378.87,327.24,259.16,227.52,396.36,315.33,292.47,47.45,274.29,170.51,58.40
aaai10-planning-ipc5-pipesworld-12-step16.cnf,3.86,40.27,42.97,103.64,27.15,29.66,17.80,4.95,106.18,301.70,17.06,86.01,12.60,35.41
aaai10-planning-ipc5-pipesworld-18-step15.cnf,3.68,6.40,18.56,10.11,11.67,8.39,8.40,10.09,8.46,9.70,13.52,18.73,6.66,32.45
aaai10-planning-ipc5-pipesworld-18-step16.cnf,37.14,30.44,51.74,563.14,143.59,101.69,59.23,60.78,315.40,466.18,68.08,567.21,49.88,69.48
aaai10-planning-ipc5-pipesworld-27-step13.cnf,19.77,29.48,59.82,76.78,98.33,40.25,35.60,63.97,63.44,74.51,36.31,38.68,32.56,96.69
aaai10-planning-ipc5-pipesworld-27-step14.cnf,7.06,19.82,123.34,89.90,19.80,27.50,23.80,78.03,13.98,23.96,46.92,84.95,38.32,127.68
aaai10-planning-ipc5-rovers-18-step11.cnf,4.02,4.65,5000,5.91,2.83,9.01,3.93,6.34,7.19,7.17,5000,5.94,11.51,211.41
aaai10-planning-ipc5-rovers-18-step12.cnf,0.19,0.29,25.07,0.28,0.35,0.27,0.28,0.34,0.66,0.20,3.89,0.77,0.26,1.46
aaai10-planning-ipc5-TPP-21-step11.cnf,595.52,816.58,686.96,3773.30,3202.98,3570.50,4926.62,3823.59,1374.71,4665.02,261.78,1390.69,3010.39,184.99
aaai10-planning-ipc5-TPP-30-step11.cnf,6.96,22.43,96.20,24.72,22.21,14.28,70.77,13.36,37.50,26.78,17.62,14.48,26.44,71.43
abb313GPIA-9-cused-assat04-317.cnf,5000,5000,1122.18,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,11.65
abb313GPIA-9-trused-assat04-321.cnf,0.25,2.07,3.12,0.15,1.21,1.12,1.27,1.09,1.24,0.06,9.51,108.30,0.29,0.87
ACG-10-10p0.cnf,26.04,23.98,28.50,50.71,29.58,30.11,24.09,21.07,32.11,38.27,48.27,24.62,36.18,46.70
ACG-15-5p1.cnf,83.09,41.66,46.70,48.63,73.00,52.04,52.91,49.62,47.14,77.58,49.09,64.22,82.15,51.11
aes_128_1_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_128_10_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_128_2_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_128_3_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_32_1_keyfind_1.cnf,0.05,0.01,0.06,0.01,0.01,0.01,0.00,0.01,0.02,0.00,0.03,0.02,0.00,0.03
aes_32_2_keyfind_1.cnf,47.57,9.17,0.44,0.77,5.65,0.12,5.31,0.99,11.02,1.23,582.05,10.09,1.15,1.02
aes_32_3_keyfind_1.cnf,5000,2481.52,1361.40,904.68,1123.87,882.67,4333.26,167.19,5000,604.25,5000,5000,1377.42,2415.10
aes_32_4_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_32_5_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_64_1_keyfind_1.cnf,2464.23,5000,5000,221.27,1243.70,5000,5000,431.71,5000,1220.35,212.66,5000,5000,268.71
aes_64_2_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_64_3_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_64_4_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
allused-assat04-986.cnf,55.87,12.91,10.95,67.61,32.12,39.22,52.68,24.75,19.01,69.94,24.80,36.08,50.28,27.27
am_7_7shuffled-assat03-363.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
AProVE07-01.cnf,5000,3715.31,5000,5000,5000,5000,5000,5000,3945.86,5000,1940.01,5000,5000,5000
AProVE07-03.cnf,623.75,113.34,446.02,2092.34,1218.33,5000,1320.33,826.09,587.56,2598.21,663.05,900.47,2226.43,1618.76
AProVE07-21.cnf,79.09,27.74,129.25,306.14,238.35,241.24,87.22,201.78,34.88,335.96,170.80,79.30,342.23,289.29
AProVE11-02.cnf,0.86,1.47,13.75,0.91,1.47,1.34,1.71,1.66,2.44,0.74,10.62,3.00,1.48,4.23
AProVE11-06.cnf,4617.56,1617.55,2516.92,3423.00,1897.10,1105.50,1914.39,954.06,2676.41,2189.06,3002.77,2411.98,1542.43,1970.81
AProVE11-07.cnf,3.68,2.89,25.44,2.60,2.46,3.92,2.81,3.30,3.84,1.04,12.87,4.26,2.52,11.34
AProVE11-09.cnf,0.09,0.37,5.35,0.17,0.34,0.40,0.37,0.40,0.74,0.16,4.49,0.80,0.44,0.90
AProVE11-10.cnf,46.92,3.53,19.91,1.10,7.73,2.80,2.40,6.60,21.74,2.50,22.95,4.00,8.53,5.14
AProVE11-11.cnf,17.40,9.93,30.21,22.20,11.55,9.62,12.25,10.35,15.16,18.33,34.03,11.67,18.01,23.87
AProVE11-12.cnf,0.15,0.27,2.91,0.18,0.26,0.25,0.26,0.26,0.44,0.21,2.47,0.48,0.26,0.67
AProVE11-13.cnf,7.41,3.46,28.85,2.25,4.19,3.41,3.46,3.59,5.42,2.96,14.11,6.43,1.25,17.76
AProVE11-15.cnf,1.61,13.39,14.08,10.77,8.33,2.87,8.59,3.96,2.23,1.99,5.26,1.83,6.03,3.73
AProVE11-16.cnf,0.62,0.67,7.87,0.76,0.61,0.60,0.53,0.53,0.97,0.68,6.52,1.06,0.68,1.44
bart17shuffled.cnf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00
bc57-sensors-1-k303-unsatshuffled-assat03-406.cnf,4116.14,745.36,708.03,2965.89,989.72,726.73,858.10,663.18,957.34,2755.26,1062.36,674.38,2294.19,938.49
blocks-4-ipc5-h21-unknown.cnf,40.68,9.92,23.61,44.16,14.38,18.78,12.82,10.61,8.54,47.34,11.88,9.67,28.59,30.63
blocks-blocks-36-0120-NOTKNOWN.cnf,810.61,892.64,950.53,2154.29,2416.89,1408.19,1598.62,1959.15,1352.02,1727.18,662.67,1558.56,1203.39,446.46
blocks-blocks-36-0160-NOTKNOWN.cnf,61.16,24.89,31.36,17.88,30.31,31.32,34.81,21.08,10.86,18.14,66.77,79.10,30.16,174.62
blocks-blocks-36-0170-NOTKNOWN.cnf,44.90,59.38,38.43,25.46,18.65,38.59,26.61,101.78,80.91,149.94,71.81,31.62,22.30,202.86
blocks-blocks-36-0180-SAT.cnf,18.65,24.23,42.84,60.42,121.42,48.30,17.64,34.28,140.42,8.47,139.72,39.24,27.64,190.97
blocks-blocks-37-1120-NOTKNOWN.cnf,40.67,43.75,50.83,80.13,102.86,71.22,54.52,63.19,65.09,55.16,146.66,60.14,46.27,143.04
blocks-blocks-37-1130-NOTKNOWN.cnf,657.04,633.83,466.25,911.34,1410.81,1304.12,959.74,1400.32,1186.85,1236.05,635.79,640.95,616.31,307.33
blocks-blocks-37-1150-SAT.cnf,16.53,15.09,44.84,14.12,17.03,29.65,13.35,14.88,44.02,9.46,105.16,58.85,27.56,140.72
c10idw_i.cnf,76.09,20.66,38.19,199.40,38.21,27.65,23.88,38.50,22.13,126.60,42.01,30.74,91.18,52.26
c6288mulmitershuffled-assat03-346.cnf,2523.77,264.98,5000,5000,5000,5000,2183.89,5000,5000,5000,5000,5000,5000,5000
clauses-8renamed-assat05-1964.cnf,373.13,2495.24,436.83,784.40,191.52,127.63,5000,161.92,600.12,1226.75,98.05,623.26,2009.93,1153.16
comb1shuffled.cnf,5000,85.59,5000,2761.76,402.81,434.75,78.92,5000,2666.40,2341.03,5000,2486.86,3363.55,5000
countbitsarray04_32.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
countbitsrotate032.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
countbitssrl064.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
countbitswegner128.cnf,5000,3023.72,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
cube-11-h14-sat.cnf,1053.12,227.82,3625.73,516.26,1004.00,362.28,656.09,863.77,537.64,1422.99,5000,799.43,432.29,5000
dated-10-17-u.cnf,2601.39,2522.16,2097.58,5000,5000,5000,5000,5000,3156.82,5000,5000,5000,5000,2650.50
dated-5-11-u.cnf,34.48,26.68,13.27,36.11,55.60,48.34,52.40,36.34,32.33,34.56,22.88,28.64,36.66,22.55
dated-5-13-u.cnf,3510.48,3879.72,3549.07,5000,5000,4766.88,5000,5000,4005.46,5000,5000,5000,5000,3902.13
