InstanceName,glucose_2.0,glueminisat-2.2.5,lingeling-587f-4882048-110513,minisathackcir_minisat_2011.05.13_simp_,minisathackcontrasat_2011.03.02,minisathackEBMiniSAT_2011.03.02,minisathackLR_GL_SHR_2011.03.02,minisathackMiniSAT_2.2.0.agile.26,minisathackminisat_psm_2011.04.01,minisathackreferenceminisat_2.2.0,MPhaseSAT64,rcl_2011.04.01,RestartSAT_B95,SAT09referencesolverprecosat_236
11pipe_11_ooo.cnf,5000,3156.77,2073.11,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2746.56
11pipe_k.cnf,5000,664.86,533.27,886.49,774.70,5000,296.36,5000,5000,5000,2086.37,5000,521.68,1600.06
12pipe_bug4_q0used-assat04-723.cnf,226.64,41.34,36.27,159.96,36.92,32.44,31.56,42.34,10.80,6.14,11.09,58.26,28.07,36.05
12pipe_bug6_q0used-assat04-725.cnf,56.82,36.26,14.00,1.61,31.17,39.08,29.11,31.00,12.91,1.37,12.29,13.91,1.40,27.14
1dlx_c_iq57_a.cnf,1119.35,591.98,978.33,949.24,609.27,1119.35,679.36,1307.85,5000,2095.80,1366.21,5000,3086.51,2071.61
1dlx_c_iq60_a.cnf,1575.44,868.12,1426.92,1365.33,746.58,1382.77,900.96,1238.28,5000,2802.42,1950.89,5000,3772.19,2700.58
2dlx_ca_bp_f_liveness.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
6pipe_6_oooshuffled-assat03-413.cnf,76.82,17.85,30.27,20.95,18.25,54.68,17.37,41.87,53.06,58.18,83.59,277.09,21.30,34.46
9dlx_vliw_at_b_iq6used-assat04-347.cnf,1175.83,962.64,649.40,2757.47,2825.45,5000,334.40,5000,5000,5000,5000,5000,5000,5000
9dlx_vliw_at_b_iq7.cnf,1831.61,1069.07,996.65,2220.90,2513.18,5000,447.35,5000,5000,5000,5000,5000,5000,4909.12
9dlx_vliw_at_b_iq8used-assat04-718.cnf,1739.03,1782.17,1699.18,5000,5000,5000,992.21,5000,5000,5000,2509.69,5000,5000,5000
9dlx_vliw_at_b_iq9used-assat04-719.cnf,2864.17,2273.63,2475.30,5000,5000,5000,1216.85,5000,5000,5000,2865.00,5000,5000,5000
9vliw_m_9stages_iq3_C1_bug5.cnf,5.10,42.13,44.13,45.59,51.29,43.62,231.84,45.68,10.12,19.88,113.30,21.53,41.41,203.64
9vliw_m_9stages_iq3_C1_bug6.cnf,5.54,51.49,72.69,6.82,75.85,59.22,155.90,41.24,13.69,16.12,149.54,23.35,84.91,121.57
aaai10-planning-ipc5-pathways-13-step17.cnf,758.86,658.30,262.50,2141.47,1033.94,1920.70,3088.08,1818.97,1507.20,2141.98,983.14,1166.68,938.62,178.09
aaai10-planning-ipc5-pathways-17-step20.cnf,292.06,401.22,167.24,815.74,1461.73,684.86,1735.03,694.00,353.88,662.19,149.51,851.69,683.60,133.48
aaai10-planning-ipc5-pathways-17-step21.cnf,193.12,2272.52,569.81,5000,1683.89,5000,2482.47,3217.84,1504.29,657.16,56.78,5000,5000,103.28
aaai10-planning-ipc5-pipesworld-12-step15.cnf,124.06,153.86,160.13,471.64,397.43,310.72,293.94,504.14,346.92,357.87,50.80,307.59,206.03,70.04
aaai10-planning-ipc5-pipesworld-12-step16.cnf,4.30,47.86,48.03,124.98,31.29,35.87,21.29,5.57,122.13,382.10,18.77,98.15,15.15,41.87
aaai10-planning-ipc5-pipesworld-18-step15.cnf,4.52,7.61,20.26,13.14,14.62,10.73,10.46,12.53,11.05,12.06,14.83,23.14,9.41,37.47
aaai10-planning-ipc5-pipesworld-18-step16.cnf,41.58,36.58,58.07,640.27,162.07,110.96,68.39,70.06,325.64,509.99,76.41,606.86,64.37,83.84
aaai10-planning-ipc5-pipesworld-27-step13.cnf,26.49,34.90,68.95,101.44,115.47,51.50,46.75,83.05,80.35,92.89,42.04,52.42,47.75,108.16
aaai10-planning-ipc5-pipesworld-27-step14.cnf,8.71,22.06,143.16,113.94,21.64,34.06,29.74,96.80,19.14,29.63,52.93,106.39,57.18,142.69
aaai10-planning-ipc5-rovers-18-step11.cnf,4.20,4.75,5000,6.30,3.08,5.94,4.02,6.44,7.35,7.83,5000,6.03,12.53,232.43
aaai10-planning-ipc5-rovers-18-step12.cnf,0.21,0.31,25.26,0.31,0.37,0.32,0.30,0.37,0.69,0.21,3.92,0.81,0.27,1.73
aaai10-planning-ipc5-TPP-21-step11.cnf,806.08,1145.97,912.95,5000,5000,5000,5000,5000,1908.80,5000,291.39,1996.07,5000,231.97
aaai10-planning-ipc5-TPP-30-step11.cnf,10.36,32.18,138.64,38.56,32.88,38.87,114.54,19.25,59.12,44.54,23.21,20.21,46.63,95.03
abb313GPIA-9-cused-assat04-317.cnf,5000,5000,1262.84,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,14.56
abb313GPIA-9-trused-assat04-321.cnf,0.25,2.07,3.02,0.15,1.22,1.12,1.32,1.10,1.34,0.07,9.66,114.08,0.29,1.12
ACG-10-10p0.cnf,46.53,45.99,34.28,88.77,54.66,58.31,43.90,39.25,53.76,73.99,57.50,40.78,68.83,61.53
ACG-15-5p1.cnf,147.47,74.81,55.93,76.20,130.57,97.03,100.38,93.86,81.92,129.92,59.54,104.56,134.21,67.78
aes_128_1_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_128_10_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_128_2_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_128_3_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_32_1_keyfind_1.cnf,0.05,0.01,0.06,0.01,0.01,0.01,0.00,0.01,0.01,0.00,0.03,0.02,0.00,0.03
aes_32_2_keyfind_1.cnf,47.01,9.06,0.44,0.82,5.62,4.36,5.31,1.00,10.96,1.23,577.30,9.92,1.15,1.00
aes_32_3_keyfind_1.cnf,5000,2845.74,1347.28,865.63,1122.90,75.04,4342.03,166.99,5000,600.76,5000,5000,1447.83,2483.75
aes_32_4_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_32_5_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_64_1_keyfind_1.cnf,2580.70,5000,5000,220.89,1238.56,5000,5000,432.42,5000,1273.18,210.88,5000,5000,269.25
aes_64_2_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_64_3_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
aes_64_4_keyfind_1.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
allused-assat04-986.cnf,56.35,12.96,10.92,67.43,31.93,41.99,53.25,25.03,19.32,72.21,25.02,36.63,50.87,29.33
am_7_7shuffled-assat03-363.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
AProVE07-01.cnf,5000,4660.92,5000,5000,5000,5000,5000,5000,4650.52,5000,1918.18,5000,5000,5000
AProVE07-03.cnf,662.91,120.36,470.37,2136.64,1248.78,5000,1325.45,809.55,652.87,2679.95,660.18,1008.99,2305.12,1981.90
AProVE07-21.cnf,82.55,28.70,135.51,306.94,244.14,334.29,92.72,205.80,36.51,341.48,167.65,85.00,346.75,320.72
AProVE11-02.cnf,1.34,1.90,15.09,1.13,1.84,1.60,2.14,2.16,2.67,1.13,11.42,3.43,2.37,5.25
AProVE11-06.cnf,5000,2827.18,3272.22,5000,3029.28,1961.27,3119.45,1686.83,4374.63,3647.77,3892.50,3906.75,2710.66,2758.22
AProVE11-07.cnf,6.16,4.67,28.38,3.74,3.71,2.82,4.21,5.25,5.23,1.62,13.43,5.60,4.73,15.12
AProVE11-09.cnf,0.11,0.48,5.72,0.20,0.44,0.49,0.45,0.40,0.78,0.16,4.67,0.90,0.52,1.21
AProVE11-10.cnf,73.14,4.68,20.64,1.45,11.59,3.79,3.03,9.22,32.05,3.98,28.65,4.47,14.38,6.09
AProVE11-11.cnf,20.02,11.74,31.80,24.23,13.91,11.95,14.65,11.96,17.05,20.81,34.98,13.01,20.56,29.78
AProVE11-12.cnf,0.19,0.32,3.03,0.18,0.30,0.30,0.30,0.31,0.49,0.23,2.41,0.53,0.29,0.91
AProVE11-13.cnf,9.90,4.00,30.50,2.88,5.20,3.92,3.98,4.11,5.62,4.05,15.26,6.83,1.57,18.13
AProVE11-15.cnf,1.71,13.96,13.93,11.03,8.74,3.11,9.02,4.24,2.31,2.10,5.04,1.99,6.58,4.51
AProVE11-16.cnf,0.93,0.84,7.77,0.92,0.77,0.69,0.65,0.68,1.11,1.06,6.41,1.21,0.91,1.84
bart17shuffled.cnf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00
bc57-sensors-1-k303-unsatshuffled-assat03-406.cnf,5000,1151.19,815.98,5000,1505.41,943.62,1405.21,1015.09,1407.82,4505.57,1269.50,1079.36,3751.16,1290.70
blocks-4-ipc5-h21-unknown.cnf,59.05,11.31,25.69,63.79,16.62,11.15,15.19,12.71,9.27,81.36,13.12,10.47,50.03,34.78
blocks-blocks-36-0120-NOTKNOWN.cnf,1016.91,1105.99,1120.99,2640.01,2906.90,2738.12,2121.33,2415.88,1620.32,2031.58,748.01,1894.25,1595.92,587.45
blocks-blocks-36-0160-NOTKNOWN.cnf,73.67,30.30,37.61,22.26,38.21,33.23,47.34,25.48,14.37,24.17,71.09,105.51,42.37,206.45
blocks-blocks-36-0170-NOTKNOWN.cnf,62.43,78.48,47.10,32.04,22.54,50.74,34.95,124.46,105.05,177.71,73.73,41.40,32.04,235.32
blocks-blocks-36-0180-SAT.cnf,23.17,29.68,52.26,74.08,153.52,17.08,19.82,42.96,189.98,11.05,163.03,52.46,40.26,231.81
blocks-blocks-37-1120-NOTKNOWN.cnf,49.00,54.87,58.43,92.40,117.54,115.64,65.96,75.24,78.54,64.71,156.26,70.71,56.91,165.50
blocks-blocks-37-1130-NOTKNOWN.cnf,722.04,700.83,534.88,1041.60,1541.80,1414.56,1046.19,1589.81,1287.36,1345.39,667.26,730.56,731.61,364.57
blocks-blocks-37-1150-SAT.cnf,19.82,17.18,53.14,18.09,19.94,19.52,15.14,17.36,52.58,12.03,108.19,70.26,36.61,161.99
c10idw_i.cnf,96.61,26.23,40.23,263.47,46.25,34.13,32.65,46.26,24.78,162.61,44.24,34.59,141.24,66.36
c6288mulmitershuffled-assat03-346.cnf,2976.02,300.88,5000,5000,5000,5000,2618.20,5000,5000,5000,5000,5000,5000,5000
clauses-8renamed-assat05-1964.cnf,578.08,3861.14,494.52,1145.82,263.99,57.17,5000,225.13,976.75,1962.30,112.85,1039.11,3219.81,1400.55
comb1shuffled.cnf,5000,91.22,5000,2939.62,407.97,356.49,79.36,5000,2749.98,5000,5000,5000,3462.40,5000
countbitsarray04_32.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
countbitsrotate032.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
countbitssrl064.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
countbitswegner128.cnf,5000,3858.91,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
cube-11-h14-sat.cnf,1779.34,396.93,5000,878.48,1754.82,1075.89,1128.31,1482.67,921.48,2440.14,5000,1393.05,751.73,5000
dated-10-17-u.cnf,3297.83,3352.32,2561.88,5000,5000,5000,5000,5000,3638.29,5000,5000,5000,5000,3289.10
dated-5-11-u.cnf,39.84,29.33,13.69,38.33,66.41,47.49,62.51,42.15,34.46,39.73,23.31,30.79,43.46,24.99
dated-5-13-u.cnf,4374.30,5000,5000,5000,5000,5000,5000,5000,4349.59,5000,5000,5000,5000,5000
dekkerused-assat04-989.cnf,7.13,4.77,5.22,17.19,12.42,10.76,21.39,34.33,11.49,25.02,41.46,12.62,20.68,16.48
dme-03-1-k247-unsatshuffled-assat03-407.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
dp04s04shuffled.cnf,0.00,0.01,0.17,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.08,0.02,0.00,0.04
dp04u03shuffled.cnf,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.04,0.01,0.00,0.02
dp10s10shuffled.cnf,0.32,0.15,0.81,0.11,0.08,0.10,0.20,0.08,0.14,0.10,0.61,0.19,0.25,0.26
driverlog1_ks99irenamed-assat05-3951.cnf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
driverlog3_v01arenamed-assat05-3963.cnf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00
dspam_dump_vc949.cnf,32.85,0.33,1.69,200.58,0.34,0.32,0.35,0.33,0.73,334.91,3.83,0.74,145.48,0.80
E00N23.cnf,4313.75,3315.01,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
E00X23.cnf,2716.93,5000,4883.20,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
E02F17.cnf,22.08,16.90,36.03,43.31,66.98,83.91,27.11,59.71,26.41,40.23,55.10,59.79,34.21,40.82
E02F20.cnf,109.15,250.64,45.51,251.11,223.83,270.33,581.80,100.40,125.18,308.36,70.98,56.68,663.47,486.22
E02F22.cnf,204.58,672.13,524.16,268.66,526.60,578.02,3144.16,365.50,33.54,219.63,496.28,242.25,585.89,423.06
E03N17.cnf,0.69,1.14,2.32,1.32,1.44,1.38,1.21,0.92,0.94,0.86,1.97,1.87,0.65,2.70
E04F19.cnf,9.50,154.90,89.54,87.63,80.80,85.81,1968.51,81.29,34.72,20.52,315.49,18.40,113.86,37.75
E04F20.cnf,9.18,188.53,54.48,83.40,56.53,73.88,301.98,72.41,33.32,102.14,124.70,15.51,172.57,47.30
E04N18.cnf,0.08,0.77,2.04,0.09,0.76,0.75,0.77,0.76,0.41,0.07,2.42,0.50,0.08,3.39
E05F18.cnf,2.52,28.98,33.97,15.84,6.84,16.93,58.12,17.92,5.78,9.56,19.19,8.51,34.91,12.89
E05F20.cnf,1.06,81.21,125.93,43.21,49.36,59.35,481.96,76.28,11.57,33.25,99.91,25.00,56.53,143.97
E05X15.cnf,5.61,5.41,8.56,6.40,5.90,5.78,8.67,4.93,6.38,4.57,22.63,7.88,4.07,48.31
E07N15.cnf,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.01,0.00,0.01
E15N15.cnf,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.03,0.05,0.00,0.01
eqatreebraun11unsat.cnf,1466.92,1929.85,1320.32,3267.37,5000,5000,5000,1473.86,1705.97,5000,518.42,5000,4898.94,1581.24
eqatreebraun12unsat.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2143.58,5000,5000,5000
ferry5_ks99irenamed-assat05-3994.cnf,0.01,0.01,0.08,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.07,0.02,0.01,0.03
grid-strips-grid-y-3035-NOTKNOWN.cnf,236.59,143.58,394.37,641.10,334.15,281.03,271.22,417.80,570.51,514.24,265.07,303.60,338.20,194.13
grid-strips-grid-y-4025-NOTKNOWN.cnf,19.86,10.75,18.59,18.91,18.09,12.40,13.46,15.99,13.81,12.93,27.65,15.67,6.73,20.86
gripper13ushuffled-assat03-395.cnf,5000,4848.19,1586.06,3757.34,4115.16,5000,5000,5000,5000,5000,5000,5000,5000,5000
gss-14-s100.cnf,16.12,14.94,14.61,26.64,3.27,13.99,16.53,12.81,11.56,28.01,13.40,14.77,5.11,30.15
gss-16-s100.cnf,161.81,34.22,42.18,19.86,11.14,78.31,49.74,6.32,35.72,121.84,344.16,38.00,154.63,30.57
gss-19-s100.cnf,1600.25,374.43,517.81,238.37,527.65,224.34,1584.22,303.43,398.38,479.84,41.65,262.20,1264.33,897.44
gss-21-s100.cnf,3869.18,3579.42,4366.73,2725.58,34.24,5000,5000,5000,986.52,3488.75,34.59,5000,5000,162.76
gss-22-s100.cnf,5000,2848.94,1244.28,5000,5000,5000,4372.99,5000,5000,5000,46.72,186.67,5000,5000
gss-27-s100.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
gus-md5-11.cnf,5000,5000,5000,3046.46,1658.08,1698.30,5000,1326.52,1462.82,2509.95,5000,1724.67,3324.59,2055.81
gus-md5-12.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4830.76,5000,5000
hard-18-U-10652.cnf,4.11,17.38,65.21,7.69,15.87,17.60,16.24,16.64,8.33,7.57,26.59,9.27,4.79,108.46
hard-25-U-7061.cnf,0.54,2.46,1.33,0.39,2.40,2.42,2.49,2.38,8.10,0.38,3.68,8.04,0.57,5.67
hard-6-U-7061.cnf,5.02,3.52,13.35,3.78,3.67,3.75,3.87,3.51,8.21,3.35,10.05,8.47,3.82,17.51
homer14shuffled.cnf,298.54,2542.49,630.51,702.88,751.14,2244.05,1885.56,2122.96,479.30,2076.11,296.71,606.98,2601.38,1034.37
homer16shuffled.cnf,471.13,2714.00,5000,1934.39,2572.68,3658.11,5000,3340.36,4766.39,1689.58,3431.11,5000,5000,5000
homer17shuffled.cnf,3573.12,5000,5000,3348.58,5000,5000,5000,5000,4632.15,5000,5000,5000,5000,5000
hsat_vc12062.cnf,0.80,0.37,0.91,0.62,0.35,0.35,0.38,0.36,2.02,0.98,1.30,2.01,1.59,0.87
hwmcc10-timeframe-expansion-k45-bc57sensorsp1-tseitin.cnf,0.27,0.47,3.46,0.28,0.47,0.48,0.43,0.47,0.90,0.33,3.09,0.93,0.44,1.00
hwmcc10-timeframe-expansion-k45-bobsm5378d2-tseitin.cnf,140.91,44.43,88.97,402.47,84.98,85.89,62.68,85.96,68.18,324.53,74.98,85.93,220.79,149.20
hwmcc10-timeframe-expansion-k45-bobsmhdlc2-tseitin.cnf,3424.70,577.03,2803.59,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
hwmcc10-timeframe-expansion-k45-pdtpmsgoodbakery-tseitin.cnf,541.79,148.80,142.23,5000,5000,609.12,1117.50,592.40,568.63,3141.39,660.65,529.52,995.43,362.86
hwmcc10-timeframe-expansion-k45-pdtpmspalu-tseitin.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
hwmcc10-timeframe-expansion-k45-pdtswvqis8x8p2-tseitin.cnf,3.67,2.17,8.60,4.32,2.08,2.03,1.70,2.38,2.29,3.41,5.58,2.20,4.86,3.75
hwmcc10-timeframe-expansion-k45-pdtswvrod6x8p1-tseitin.cnf,10.49,6.06,13.63,17.50,4.94,4.37,4.90,5.30,6.03,14.66,7.35,6.28,12.85,9.92
hwmcc10-timeframe-expansion-k45-pdtswvtms14x8p1-tseitin.cnf,14.66,3.66,9.75,15.35,4.32,3.90,4.22,3.35,3.77,16.06,6.79,4.25,21.13,6.97
hwmcc10-timeframe-expansion-k45-pdtviseisenberg1-tseitin.cnf,39.21,29.72,39.40,213.43,169.54,36.13,89.78,61.04,49.86,84.48,5000,38.93,196.92,110.70
hwmcc10-timeframe-expansion-k45-pdtvisns3p02-tseitin.cnf,5000,5000,2298.22,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
hwmcc10-timeframe-expansion-k45-pdtvissoap1-tseitin.cnf,615.75,202.10,145.98,5000,4736.10,5000,731.08,2899.63,1740.08,5000,615.25,4634.95,4424.60,613.17
hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf,0.78,0.66,3.84,0.71,0.72,0.76,0.67,0.70,1.39,1.00,3.38,1.50,1.03,1.64
hwmcc10-timeframe-expansion-k50-bc57sensorsp3-tseitin.cnf,0.53,0.68,4.14,0.44,0.65,0.68,0.70,0.70,1.05,0.50,3.64,1.10,0.79,1.47
hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,7.23,5.00,14.70,14.52,5.09,3.88,5.99,4.05,5.17,12.53,9.58,4.61,25.71,14.55
hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,5000,1879.58,5000,5000,5000,5000,2065.70,5000,5000,5000,5000,5000,5000,5000
hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf,0.06,0.49,0.57,0.05,0.48,0.48,0.50,0.50,0.77,0.05,0.16,0.80,0.07,0.11
hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,1944.63,371.64,313.65,5000,3104.33,2736.27,3550.10,2891.19,1237.25,5000,2362.61,2115.46,4473.48,1069.65
hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf,3.84,2.42,11.91,6.86,2.46,2.66,2.45,2.31,2.82,3.87,6.60,3.03,8.25,5.18
hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf,46.13,28.68,49.63,181.93,37.42,31.73,115.26,44.62,25.64,139.37,5000,136.66,144.86,92.15
hwmcc10-timeframe-expansion-k50-pdtvisns2p3-tseitin.cnf,20.37,5.46,19.29,29.64,6.95,5.19,4.25,3.58,6.37,24.78,15.23,3.19,43.80,8.90
hwmcc10-timeframe-expansion-k50-pdtvisns3p00-tseitin.cnf,5000,2175.29,872.76,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
IBM_FV_2004_rule_batch_30_SAT_datk55.cnf,70.66,2301.94,1249.67,150.01,725.72,500.80,425.40,242.49,116.58,1385.64,932.24,282.08,2366.75,511.22
IBM_FV_2004_rule_batch_30_SAT_datk80.cnf,435.30,5000,2182.13,1432.81,67.70,321.31,3588.70,48.37,176.23,1494.44,587.82,744.02,1132.44,732.66
ibm-2002-21r-k95.cnf,32.51,26.70,51.27,31.46,10.18,13.15,16.97,9.87,13.86,17.29,32.44,15.45,32.35,9.55
ibm-2002-30r-k85.cnf,737.26,5000,426.67,414.05,1412.17,69.29,5000,39.09,332.38,408.30,874.82,882.11,527.31,213.17
ibm-2004-01-k90.cnf,2.17,31.23,41.03,10.01,13.39,24.92,42.09,17.58,8.77,2.10,17.63,19.91,45.58,12.19
ibm-2004-23-k100.cnf,585.11,429.63,327.14,636.83,78.22,39.25,457.08,82.35,142.36,489.62,281.03,209.46,937.95,153.05
k2fix_gr_rcs_w8shuffled.cnf,1451.52,5000,15.29,5000,5000,5000,5000,5000,5000,5000,3.56,5000,5000,5000
k2fix_gr_rcs_w9shuffled.cnf,14.08,36.86,248.90,103.70,87.66,79.04,72.85,105.55,40.56,177.37,69.25,50.51,269.33,138.57
k2mulmitershuffled-assat03-355.cnf,1687.25,1082.07,1703.80,5000,5000,5000,4622.58,5000,2455.51,5000,5000,5000,5000,5000
korf-15.cnf,19.26,25.85,40.15,32.30,34.72,17.53,251.95,21.90,28.65,21.46,13.89,24.41,6.08,12.33
korf-17.cnf,413.16,473.18,936.08,1333.82,790.73,495.98,5000,427.84,567.34,673.93,932.56,4559.29,423.73,836.98
korf-18.cnf,5000,5000,2647.88,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,3837.78
li-exam-61shuffled-assat03-366.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
li-test4-100shuffled-assat03-370.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
manol-pipe-c10nidw.cnf,1919.88,222.83,330.52,5000,601.39,275.78,441.91,312.50,143.63,5000,218.97,212.36,5000,416.32
manol-pipe-c6bidw_i.cnf,99.12,19.44,30.94,179.35,25.63,17.70,29.62,20.12,13.25,111.90,42.35,13.08,139.59,29.41
manol-pipe-f7idw.cnf,54.47,17.82,31.21,98.92,83.77,76.00,19.26,703.82,259.12,106.59,86.02,1290.32,91.26,25.11
manol-pipe-f7nidw.cnf,77.36,26.89,37.38,87.41,65.33,115.23,25.20,5000,245.74,111.03,50.66,135.81,121.30,30.35
