Instance,claspfolio
agricola_p16.pddl,760.5000
organic-synthesis-split_p12.pddl,254.9600
snake_p11.pddl,116.2500
termes_p20.pddl,27.7300
spider_p09.pddl,108.6400
caldera_p11.pddl,72.5200
petri-net-alignment_p17.pddl,73.8600
data-network_p06.pddl,85.5700
settlers_p12.pddl,42.8300
caldera-split_p03.pddl,6.5900
spider_p17.pddl,384.0700
data-network_p09.pddl,28.2600
settlers_p10.pddl,18000.0000
caldera-split_p05.pddl,13.3900
organic-synthesis_p19.pddl,18000.0000
caldera-split_p11.pddl,1072.1100
organic-synthesis_p09.pddl,55.6200
organic-synthesis_p01.pddl,17.2400
settlers_p05.pddl,537.3300
caldera-split_p12.pddl,490.8900
termes_p04.pddl,5.0900
agricola_p08.pddl,470.4700
snake_p20.pddl,85.7200
petri-net-alignment_p04.pddl,20.5900
spider_p10.pddl,535.3100
caldera_p10.pddl,26.7000
organic-synthesis-split_p07.pddl,89.4900
agricola_p15.pddl,18000.0000
nurikabe_p06.pddl,12.3800
snake_p04.pddl,46.2900
termes_p10.pddl,311.6400
caldera_p05.pddl,16.9900
organic-synthesis_p04.pddl,18000.0000
snake_p01.pddl,12.9500
data-network_p11.pddl,29.8900
agricola_p19.pddl,1661.7700
nurikabe_p08.pddl,8.5600
snake_p09.pddl,88.1500
data-network_p10.pddl,31.1800
data-network_p13.pddl,31.2400
petri-net-alignment_p06.pddl,32.7400
organic-synthesis_p20.pddl,18000.0000
petri-net-alignment_p20.pddl,72.4300
agricola_p05.pddl,104.1000
settlers_p03.pddl,41.5300
settlers_p15.pddl,18000.0000
data-network_p07.pddl,18000.0000
spider_p05.pddl,18000.0000
organic-synthesis_p06.pddl,18000.0000
agricola_p17.pddl,1419.2900
caldera_p16.pddl,18000.0000
nurikabe_p12.pddl,259.0200
spider_p03.pddl,198.0300
spider_p12.pddl,18000.0000
agricola_p20.pddl,1739.6100
settlers_p01.pddl,30.8200
snake_p13.pddl,18000.0000
organic-synthesis_p11.pddl,18000.0000
organic-synthesis_p17.pddl,18000.0000
caldera-split_p07.pddl,9.1900
