208.511978597499,387.37,112.6,214.45,70.1,374.28,391.3
1.93,0.91,2.11,29.79,9.58,15.75,1.6
160.866181671015,22.14,18.39,70.96,38.43,75.18,18.68
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
0.14,3.66,0.21,0.22,0.93,5000,1.42
5000,191.09,4385.67,1857.28,650.98,1624.82,49.79
5000,5000,5000,5000,5000,5000,5000
1720.75,43.45,237.06,323.78,107.99,209.87,22.1
5000,5000,5000,5000,5000,4021.74,5000
5000,5000,5000,5000,5000,5000,5000
308.65,67.82,29.21,135.25,91.85,21.82,14.64
14.07,9.1,10.55,66.96,49.32,11.94,3.41
313.37,49.08,31.81,97.23,62.41,78.17,13.35
406.08,204.13,42.99,87.47,76.11,90.94,46.84
40.64,10.97,10.44,65.3,68.19,8.35,3.8
502.88,283.78,224.65,209.25,110.4,260.25,36.72
297.45,43.96,242.28,201.54,119.59,60.37,45.51
294.482147537322,36.36,71.93,154.18,94.08,27.69,34
864.223401137615,272.5,364.65,302.68,168.54,532.53,477.8
24.46,7.76,10.47,38.8,39.77,7.65,4.34
117.43,18.66,27.9,138.46,60.08,23.19,68.56
416.16,44.57,95.26,132.42,120.93,84.65,118.72
573.04,148.6,286.25,214.71,103.16,195.67,50.08
45.25,11.63,17.32,68.85,71.18,9.15,5.26
16.13,9.47,13.3,42.2,59.93,10.62,5.07
521.103039308133,71.34,62.47,104.05,63.2,77.62,176.29
572.12,94.15,223.48,123.49,122.11,241.08,374.23
74.6545783828461,11.84,9.35,57.3,50.05,7.58,1.64
142.12,32.18,12.55,84.61,36.79,18.86,4.61
184.17,10.05,14.71,60.44,35.85,24.4,5.78
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,67.89
1426.03,5000,5000,3261.05,3550.8059144434,5000,5000
5000,5000,5000,5000,5000,5000,5000
48.15,0.07,0.25,0.01,0.39,0.1,0.1
20.89,5.24,1.2,1.45,14.32,78.14,2.23
583.44,30.71,8.79,229.7,96.27,339.6,12.66
19.47,0.72,0.25,0.56,7.36,1.6,0.67
83.25,0.97,0.34,0.33,7.42,22.05,0.88
2.31,1.65,276.56,120.5,342.8,34.39,0.88
5.09,7.16,1062.22,1860.3,5000,447.9,6.28
110.08,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
658.68883679707,5000,5000,5000,5000,5000,5000
1446.06,5000,5000,5000,5000,5000,5000
109.12,5000,5000,5000,5000,5000,5000
144.32,0.42,5000,5000,6.51,5000,2.5
79.9,1.35,9.49,41.15,10.68,5000,7.11
318.31,0.68,255.4,220.47,23.8,5000,9.76
127.67,0.44,9.28,31.75,15.31,5000,6.8
227.87,0.21,5000,5000,5.32,5000,3.01
11.2,1.81,1.71,68.75,9.06,5000,13.64
653.090769609567,0.67,5000,5000,30.39,5000,17.49
6.28,0.3,3575.11,1886.13,14.75,5000,5.6
3.64,5.34,2.92,10.93,8.89,4.16,1.27
50.24,5.29,1.47,66.51,65.12,38.69,4.14
4.06,5000,24.26,15.28,5000,16.1,1.02
1767.87,5000,21.73,42.56,5000,72.25,10.47
30.35,5000,3.64,13.72,17.16,11.26,1.81
5.4,5000,57.37,19.91,5000,74.64,15.08
13.96,5000,47.19,14.45,5000,35.04,6.46
36.56,5000,26.46,34.4,5000,43.13,17.93
5000,5000,977.83,75.11,5000,1697.89,97.66
264.07,5000,4.33,159.81,5000,357.76,227.39
81.8,5000,238.3,75.48,5000,780.49,55.05
131.26,55.09,44.01,301.39,153.17,20.04,47.28
2460.74,0.25,0.16,1.5,3.09,0.21,0.15
55.53,1.3,0.71,5.06,4.99,8.32,0.53
5000,5000,5000,5000,5000,5000,5000
5000,54.38,19.24,24.65,13.34,54.44,11.1
5000,5000,5000,5000,5000,5000,5000
5000,2890.74,1479.85,192.3,175.6,661.11,432.35
777.27,174.79,101.48,33.34,46.74,228.36,65.25
1883.69089093195,17.9,11.8,13.55,10.19,429.63,9.94
631.24,70.67,145.04,54.71,28.25,4663.48,42.18
5000,1110.38,1267.2,264.02,154.09,3953.58,585.25
51.34,1.25,1.25,4.59,5.41,40.88,1.01
5000,2473.1,5000,1271.03,826.71,1676.95,2182.55
5000,425.04,1163.74,70.51,62.72,152.05,234.69
3922.60208955616,505.13,5000,149.57,119.22,189.46,265.43
374.950986222179,148.86,471.32,38.9,35.23,198.24,98.23
5000,391.82,130.86,68.7810055739268,98.31,216.33,312.7
1237.84,767.29,1774.83447430078,129.16,89.84,668.21,176.54
4.43,0.19,0.72,4.96,4.39,0.86,0.2
427.99,2044.17,1055.47,121.91,129.99,3346.55,2372.86
5000,10.56,81.82,123.79,24.14,315.98,29.62
5000,111.47,515.71,184.24,234.78,2452.82,50.79
5000,27.53,49.73,62.52,26.48,186.81,13.09
575.43,8.63,281.52,134.45,61.21,5000,2.55
150.62,1.17,2.29,6.2,8.34,34.2,0.8
312.98,18.21,137.21,22.02,23.92,30.65,12.47
9.95,0.6,0.64,4.38,5.44,1,0.47
656.51,94.23,1140.50538972605,437.94,24.18,147.91,38.8
374.58,47.82,21.11,31.63,43.84,54.65,35.91
394.721361200591,48.05,57.57,39.82,67.94,5000,57.29
491.16,10.67,15.65,18.68,29.41,96.35,10.05
41.22,170.48,23.18,11.91,15.17,5000,7.39
6.17,341.13,99.12,33.43,24.5522066264038,5000,441.83
18.64,6.92,11.38,51.07,5000,5000,25.79
24.88,222.07,416.91,73.75,5000,5000,48.64
25.03,4.59,0.22,3.14,10.47,5000,0.1
1299.18,3.92,5000,5000,148.32,5000,23.99
5.62,11.2,2.97,12.33,44.83,5000,0.65
4.46,1.68,1.67,6.45,15.93,5000,0.37
2.35,52.45,1.08,7.05,10.06,1796.14,1.3
5000,5000,5000,5000,5000,5000,5000
21.09,0.12,0.12,1,55.84,5000,0.1
2.95,5000,5000,5000,5000,5000,5000
33.11,5000,5000,5000,5000,5000,5000
1252.03,5000,5000,5000,5000,5000,5000
2.2,5000,5000,5000,5000,5000,5000
2.94,5000,5000,1621.03,224.22,5000,4998.96
5000,5000,5000,5000,5000,5000,5000
16.18,5000,5000,5000,47.69,5000,8.66
5000,5000,5000,5000,5000,5000,5000
1.69,0.25,0.15,0.16,45.76,5000,0.5
2.94,0.5,5000,5000,54.53,5000,2.53
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,710.17,275.69,5000,4131.65
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
0.45,38.5,197.37,245.86,10.01,5000,60.4
0.19,11.55,0.11,0.12,0.86,5000,0.48
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,3798.91,5000,5000
11.85,48.13,27.2,27.43,11.2,16.6,2.23
5000,5000,5000,4815.65649404991,1136.23,5000,5000
5000,5000,5000,5000,5000,5000,5000
2.79,1.08,12.91,13.09,3.63,2.64,5.56
2.64,0.99,12.89,13.05,3.4,3.12,5.29
2.7,1.05,13.67,13.89,3.8,2.19,5.49
2.79,1.05,13.01,13.31,3.61,2.59,5.38
2.8,1.08,13.82,14.03,3.42,2.18,5.45
2.89,1.14,13.09,13.32,3.61,5.62,5.83
3.17,1.15,13.98,13.99,3.58,4.71,5.6
2.94,1.08,13.8,14,3.58,2.51,5.91
2.64,1.02,13.54,13.83,3.67,2.61,5.4
2.75,1.05,12.95,13.04,3.44,2.75,5.18
5000,5000,47.84,61.98,72.49,97.9,5000
5000,5000,5000,5000,5000,5000,5000
1.87,2.07,9.27,6.77,3.6,2.56,0.21
5000,5000,5000,5000,5000,5000,5000
0.44,0.01,0.54,5.23,0.21,0.48,0.02
5000,3257.17,3959.93,1270.96,226.98,1387.33,1004.89
3.9,11.78,677.8,162.46,44.87,1342.23,1.45
63.47,44.2,28.28,33.54,39.59,2.01,0.54
56.98,29.21,147.89,100.77,48.46,1.16,0.51
62.4,705.95,8.56,18.17,12.69,178.78,33.85
200.96,5000,2423.3,5000,976.61,5000,5000
