2132.92,1132.58,823.27,826.39,898.02,5000,512.31,424.91,375.26,5000,588.13,2603.72,1053.23,1963.3,305.44,444.62,382.73,2733.37401074803,388.06,3448.85140353854,5000,214.07,985.98,1360.48,5000
1403.93,1368.82,1092.92,1020.65,3557.6,5000,1251.75,1179.21,1005.21,1569,1370.81,3096.2,1080.82,1527.83,682.31,913.15,1130.89,3202.29,1835.44,5000,5000,384.322193619925,1395.93,1428.76,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
1232.99,1066.21,1010.05,985.32,446.97,495.59,794.13,734.55,938.39,940.14,820.77,1688.71,1339.59,1852.64,1230.4,900.6,837.73,2970.11419122567,766.62,3114.67,4689.82,649.98,1045.53,1022.87,5000
170.47,238.46,180.17,176.52,225.34,228.48,237.4,213.37,117.83,253.66,226.12,521.49,257.36,206.43,193.01,548.33,167.74,2609.75894522092,180.11,3288.30337246962,3018.4,102.64,151.47,159.89,5000
1877,1295.65,1041.71,1250.27,1073.94,1085.01555390372,1678.68,1406.08,1095.9,1472.30350974193,1470.39,3557.5,1701.6,1555.17,1289.91,2797.04,1311.19,3224.01,1503.7,5000,5000,767.4,1299.45,1423.41,5000
2296.65,1814.41,1890.62521245473,1985.71,1584.12,1810.88,2567.67,2179.46772086653,1543.22,2263.47,2063.07,5000,2333.89,2040.73,1761.66,4045.52,2280.11,3578.86086289761,2403.6,5000,5000,1145.41,1891.22,1814.65,5000
5000,5000,5000,5000,5000,5000,320.8,241.15,5000,5000,5000,5000,5000,5000,5000,5000,5000,567.64,289.82,5000,5000,5000,5000,5000,299.73
246.74,393.3,319.766055923197,511.61,452.89,446.66,311.47,311.54,527.53,528.2,577.06,568.25,497.72,354.19,418.2,273.28,459.28,193.49,359.296453873921,189.93,2808.45,693.2,476.66,305.75,5000
296.3,1740.05,700.28,1374.98,719.88,699.32,984.7,1353.4,1541.84,1631.87,1578.25,2058.65,1616.88865388491,1664.12,549.76,463.95,815.597032841631,336.27,813.858706230007,339.61,5000,2322.55,1644.96,1044.9,5000
3598.23,3238.61,3186.49,4764.55,5000,5000,3123.62,4319.91,5006.31403314795,4103.22333430252,5000,5000,5000,3394.98,2494.86,3586.63,4139.44815950274,1280.84,2347.14,1400.6575616288,5000,5000,4465.54,3427.7,5000
865.1,2418.35,1509.74,1388.61,956.28,964.96,1230.5,3893.51,1790.47,2597.74,1513.02,2166.24,722.9,3601.72,668.06,1164.86,902.73,653.12,563.79,2645.52,5000,955.07,2477.03,1907.16,5000
241.84,314.23,499.98,511.7,431.61,429.22,350.77,702.12,310.73,255.71,338.37,424.09,201.49,336.82,327.55,489.54,129.14,181.43,213.49,694.23,2007.45,254.04,416.74,461.75,5000
7.36,11.23,8.21,8.07,13,13.1,9.56,6.48,7.89,7.38,8.31,7.08,9.59,15.28,10.61,22.9123411519329,9.8,20.12,12.88,19.33,85.09,12.28,7.19,7.77,5000
892.96,2555.66,1345.54,1340.97,2851,2775.41,36.04,2412.81886370801,274.66,1431.9,4845.6,1451,854.89,727.04,3444.22,137.42,102.55,241.45,93.67,803.913972625706,2447.56,2725.25255172631,2096.37,395.88,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,3665.07,5000,5000,3837.35,3697.15,2556.49,2983.75,2281.11,2329.48,1945.69,1261.17,4872.29,5000,5000,5000,3423.72515340525,4084.07,2187.42947560498,5000,5000,474.59,2507.5,5000,5000
5000,5000,5000,5000,1190.61,1193.12,5000,5000,2579.68,1930.82,5000,455.18,1549.19,4043.6,34.63,5000,5000,5000,5000,5000,5000,84.71,5000,5000,5000
5000,5000,3224.78,3135.45,4019.27,3854.43,4897.3,5000,3385.45,4631.2,4366.42,2691.3,2275.52,5000,5000,5000,5000,4995.87641020879,5000,5000,5000,297.34,4090.8,4508.26,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2321.23,5000,5000,5000,5000,5000,5000,2517.01,5000,5000,5000
871.14,5000,674.58,674.09,1253.45,1283.99,5000,0.84,5000,4.8,5000,1206.59,740.5,5000,2440.31,5000,5000,5000,5000,5000,7.99,918.19,10.08,11.12,44.86
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,305.49,5000,5000,5000,5000,5000,5000,5000,2.56,5000,5000,5000,5000,5000,109.89,5000,5000,5000,5000
1721,5000,3462.76,3408.5,3373.04,3470.62,5000,5000,3470.56,4413.82,4348.92,2194.86,3169.14,5000,249.45,5000,5000,4579.86,5000,5000,5000,1200.62,3458.93,3679.92,5000
5000,3196.93,5000,5000,5000,5000,5000,5000,1656.35,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4995.79808394652,253.2,1044.65,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,109.88,5000,5000,5000,5000
3276.13,1.57,3759.41,3442.16,5000,5000,5000,5000,1905,5000,5000,2163.05,3978.29,5000,5000,5000,1767.51,4235.82,5000,5000,5000,5000,2359.11,2452.1,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5.22,5000,5000,5000,5000,5000,142.15,5000,5000,5000,5000
5000,5000,1379.81243833035,1459.88,5000,5000,5000,5000,5000,5000,5000,5000,3433.06,5000,5000,5000,5000,5000,5000,5000,33.84,5000,5000,5000,94.09
4617.2,5000,5000,5000,5000,5000,5000,5000,3845.91,5000,5000,5000,5000,5000,5000,5000,5000,3578.05,5000,5000,107.41,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,36,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,3829.31,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,1127.89,5000,5000,2373.27,5000,5000,5000,4310.06,4115.96,5000,5000,37.03,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
1873.65,5000,2153.39,2120.75,2312.2,2522.9,1675.13,2793.15,3156.82,2288.32,4056.37,5000,2691.79,2408.48,1677.27,2531.54,2045.74,1603.09,1537.49,2688.28,5000,5000,2180.52,2117.16,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
399.13,389.44,367.39,362.9,172.06,191.96,336.62,331.4,355.31,378.6,352.84,251.66,318.49,328.94,313.31,401.03,269.43,351.87,264.14,523.02,978.28,357.5,322.48,265.86,5000
1548.81978413155,1.21,1342.82329267084,1340.66776105922,29.76,29.57,1434.40039400149,1362.31808236615,1375.6203317924,1225.04190577647,1456.02556777609,1500.78858259954,1772.7576304726,1425.45795455609,6.06,29.76,1402.47146146871,1336.36426069597,1353.6230553688,1337.7050031995,882.72,26.2,1333.69226280889,1458.801534949,5000
50.43,29.61,67.68,67.35,52.46,56.37,53.85,73.77,30.9,65.44,70.4,43.49,49.45,71.09,63.03,110.06,50.93,85.66,67.9,162.97,1056.99,93.3,53.9,56.08,5000
19.28,7.17,8.86,8.91,9.49,9.76,35.65,35.83,11.18,12.24,16.05,9.64,9.63,13.93,44.34,30.46,35.29,40.07,35.52,24.14,292.12,39.79,9.2,9.54,5000
30.78,18.23,23.89,23.89,28.38,28.91,71.2335493187323,91.83,27.41,41.14,36.99,34.57,40.57,30.63,69.6,72.72,87.6385322140331,90.77,82.01,69.52,615.91,82.43,29.6,30.33,5000
11.04,7.3,10.16,10.24,13.56,13.8,49.35,55.51,8.88,13.35,18.49,9.68,12.44,10.72,42.02,26.58,49.83,52.07,50.95,21.25,324.96,38.37,11.72,12.23,5000
4.63,3.47,3.41,3.49,6.75,6.75,25.49,34.1,3.75,3.2,8.56,3.93,4.79,3.62,14.3,8.94,26.08,25.07,26.13,8.5,215.31,22.84,3.41,3.65,5000
14.07,5.02,4.92,4.88,9.44,9.37,33.99,38.56,10.7,5.95,12.37,7.02,8.3,6.39,13.1,13.6,34.47,34.15,34.41,14.1,284.69,38.84,5.38,5.91,5000
0.01,0.01,0.01,0.01,0.01,0.02,0,0.01,0.01,0.01,0.04,0.03,0,0.02,0.02,0.02,0,0,0,0.01,0.22,0,0.01,0.02,0
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
