Instance,claspfolio
slp-synthesis-aes-bottom20.cnf,50000.0000
openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3085-SAT.cnf,14.1800
AProVE11-12.cnf,0.1900
c6288mulmitershuffled-assat03-346.cnf,317.8900
slp-synthesis-aes-top23.cnf,3902.0100
transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed030-NOTKNOWN.cnf,1363.4200
traffic_b_unsat.cnf,104.2800
hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf,49.0200
9dlx_vliw_at_b_iq8used-assat04-718.cnf,1304.0900
comb1shuffled.cnf,79.8500
E07N15.cnf,0.0000
vda_gr_rcs_w9shuffled.cnf,0.0200
aaai10-planning-ipc5-rovers-18-step12.cnf,0.3100
ibm-2002-21r-k95.cnf,31.2500
dspam_dump_vc949.cnf,1.2200
rbcl_xits_18_SAT.cnf,0.0200
dme-03-1-k247-unsatshuffled-assat03-407.cnf,50000.0000
aaai10-planning-ipc5-pipesworld-18-step15.cnf,13.5200
smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf,1.8500
am_7_7shuffled-assat03-363.cnf,50000.0000
11pipe_k.cnf,371.8500
hwmcc10-timeframe-expansion-k45-pdtviseisenberg1-tseitin.cnf,52.6900
korf-15.cnf,31.8300
countbitsarray04_32.cnf,50000.0000
slp-synthesis-aes-top28.cnf,448.9400
dated-5-11-u.cnf,19.8700
12pipe_bug4_q0used-assat04-723.cnf,69.4500
sha0_36_5.cnf,24.6800
blocks-blocks-37-1150-SAT.cnf,17.7000
homer16shuffled.cnf,1695.5200
smulo064.cnf,50000.0000
E02F22.cnf,254.0100
slp-synthesis-aes-bottom15.cnf,50000.0000
gss-19-s100.cnf,45.1500
eqatreebraun12unsat.cnf,2152.5800
UTI-20-10p0.cnf,627.6100
aes_32_4_keyfind_1.cnf,50000.0000
aes_32_3_keyfind_1.cnf,175.7700
traffic_r_sat.cnf,1.3600
sortnet-8-ipc5-h19-sat.cnf,1128.4100
gss-14-s100.cnf,6.4200
blocks-blocks-36-0160-NOTKNOWN.cnf,22.4800
manol-pipe-f7nidw.cnf,54.2500
cube-11-h14-sat.cnf,447.1700
openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1045-NOTKNOWN.cnf,50000.0000
slp-synthesis-aes-top26.cnf,1089.5400
aaai10-planning-ipc5-rovers-18-step11.cnf,6.6500
11pipe_11_ooo.cnf,2175.7700
6pipe_6_oooshuffled-assat03-413.cnf,21.4300
hwmcc10-timeframe-expansion-k50-pdtvisns3p00-tseitin.cnf,918.1400
UR-20-10p1.cnf,2427.1300
aes_32_1_keyfind_1.cnf,0.0100
partial-10-17-s.cnf,3410.4800
hard-25-U-7061.cnf,0.3800
slp-synthesis-aes-bottom25.cnf,50000.0000
UCG-15-10p0.cnf,203.3000
gss-27-s100.cnf,50000.0000
E05F20.cnf,26.0400
countbitsrotate032.cnf,50000.0000
smtlib-qfbv-aigs-rfunit_flat-64-tseitin.cnf,0.4800
hwmcc10-timeframe-expansion-k45-bc57sensorsp1-tseitin.cnf,0.2900
aaai10-planning-ipc5-pathways-17-step20.cnf,141.0200
openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3045-NOTKNOWN.cnf,50000.0000
UR-20-10p0.cnf,1839.2800
smtlib-qfbv-aigs-lfsr_008_063_080-tseitin.cnf,125.0900
9dlx_vliw_at_b_iq6used-assat04-347.cnf,489.2500
openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1035-NOTKNOWN.cnf,50000.0000
