abcdsat_r18,CaDiCaL,Candy,cms55-main-all4fixed,COMiniSatPS_Pulsar_drup,expGlucose,expMC_LRB_VSIDS_Switch,expMC_LRB_VSIDS_Switch_2500,expMC_VSIDS_LRB_Switch_2500,GHackCOMSPS_drup,glu_mix,glucose4.2.1,Glucose_Hack_Kiel_fastBVE,glucose-3.0_PADC_10,glucose-3.0_PADC_3,glucose3.0,gluHack,inIDGlucose,Lingeling,Maple_CM,Maple_CM_Dist,Maple_CM_ordUIP,Maple_CM_ordUIP+,Maple_LCM_M1,Maple_LCM_Scavel_200_fix2,Maple_LCM_Scavel_fix2,Maple_LCM+BCrestart,Maple_LCM+BCrestart_M1,MapleCOMSPS_CHB_VSIDS_drup,MapleCOMSPS_LRB_VSIDS_drup,MapleCOMSPS_LRB_VSIDS_2_fix,MapleLCMDistChronoBT,Minisat-v2.2.0-106-ge2dd095,Riss7.1-fix,smallsat,Sparrow2Riss-2018-fixfix,YalSAT
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2878.08,5000,5000,5000,5000,5000,597.87,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,136.67,5000,5000,5000,138.19,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,2691.86,5000,5000,5000,5000,5000,5000,200.69,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,145.53,5000,5000,5000,5000,359.86,5000,5000,362.01,5000,5000
601.23,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,585.65,5000,5000,5000,5000,5000,143.96,212.74,588.95,432.29,5000,5000,5000,5000,418.42,5000,5000,342.68,5000,5000
457.54,459.52,577.28,223.51,504.15,5000,304.91,375.15,447.03,474.57,433.99,5000,5000,62.31,62.07,5000,5000,5000,5000,266.62,5000,268.55,258.97,272.96,348.57,416.3,5000,238.16,215.06,5000,290.71,5000,538.91,5000,254.84,5000,5000
5000,5000,5000,5000,213.6,5000,368.28,356.71,2688.2,5000,5000,235.44,101.5,5000,5000,113.32,5000,5000,119.06,198.84,5000,199.28,197.93,381.25,297.91,345.62,376.29,5000,601.6,429.01,5000,391.36,5000,156.54,526.09,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,269.2,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,486.72,5000,5000,5000,5000,5000,5000,5000,511.7,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,480.7,5000,5000,287.73,237.41,5000,5000,5000,5000,5000,5000,5000,341.21,5000,5000,5000,5000,5000,5000,5000,460.96,602.76,342.42,5000,543.37,5000,453.06,5000,5000,5000,533.37,5000,5000
95.45,5000,5000,5000,134.11,5000,5000,312.64,5000,5000,514.06,293.35,5000,442.47,442.08,5000,12.95,5000,5000,227.6,5000,227.34,222.6,5000,218.21,173.84,112.58,211.67,5000,520.66,191.69,216.99,473.54,5000,618.43,5000,5000
5000,306.67,458.36,5000,34.24,5000,5000,242.59,5000,101.05,5000,231.56,5000,5000,5000,273.32,225.24,39.85,5000,5000,5000,5000,5000,86.55,5000,179.1,5000,305.32,162.92,264.08,575.51,537.82,5000,528.82,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
351.43,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,3243.63,5000,2601.95,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,489.55,5000,5000,5000,5000,587.79,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,267.95,482.56,5000,282.9,5000,5000,5000,404,5000,5000,5000,5000,5000
5000,507.29,510.74,622.81,334.02,5000,446.17,405.57,233.78,186.14,5000,5000,5000,5000,5000,447.96,5000,5000,414.17,5000,1404.99,5000,5000,5000,381.59,196.48,1272.61,5000,5000,307.35,5000,5000,463.08,5000,188.55,5000,5000
