405.164,5000,5000,2553.425,5000,5000,5000,1223.485,5000,5000,4029.558,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,1749.333,3982.925,5000,5000,5000,5000,2776.292,5000,5000,5000,989.887,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,407.81,5000,5000,700.682,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,19.727,1.952
5000,3348.561,5000,5000,5000,520.494,5000,5000,47.441,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4382.72,5000,2788.481,312.138,1074.906,5000,5000,1703.446,5000,248.008,5000,5000,0.976,0.012
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2892.063,5000,5000,5000,5000,5000,5000,5000,5000,787.811,5000,5000,5000,5000,895.008,5000,5000,5.549,42.939
3145.089,5000,5000,5000,86.853,5000,5000,5000,5000,5000,2088.149,648.324,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2903.419,79.405,5000,5000,5000,5000,5000,1830.241,5000,5000,0.169,0.045
5000,5000,5000,5000,347.435,5000,5000,5000,5000,5000,3228.737,5000,5000,5000,5000,5000,5000,5000,5000,75.773,5000,75.189,74.275,5000,5000,5000,5000,5000,5000,5000,1558.813,2474.178,5000,5000,5000,1.015,0.222
1047.218,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,1760.711,5000,5000,396.53,3891.809,5000,5000,5000,3534.256,1389.295,5000,5000,5000,4105.488,5000,1970.363,5000,5000,0.55,0.029
5000,5000,5000,5000,5000,4153.211,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2068.114,1176.141,2105.438,1181.537,1134.441,5000,5000,3550.406,99.137,5000,5000,5000,5000,5000,5000,5000,5000,0.418,0.03
5000,86.31,5000,5000,5000,5000,5000,1234.827,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2489.676,5000,5000,5000,5000,5000,142.564,372.123
5000,5000,5000,5000,5000,2839.26,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,302.832,5000,318.225,296.995,5000,1503.456,5000,5000,454.081,1199.002,5000,5000,5000,5000,5000,5000,3.93,0.933
