InstanceName,blind,Complementary1,Complementary2,DecStar,Delfi1,Delfi2,FDMS1,FDMS2,Metis1,Metis2,Planning-PDBs,Scorpion,symbolic-bidirectional,Symple-1,Symple-2
agricola_p01.pddl,843.14,109.87,52.15,1800,19.42,472.3,87.06,111.96,1800,1800,52.24,1800,18.36,1376.53,1379.01
agricola_p02.pddl,488.42,140.03,207.37,1800,33.04,63.01,81.7,292.26,1800,1800,207.23,1800,74.07,1800,1800
agricola_p03.pddl,1055.63,1124.71,1099.03,1800,78.35,129.36,122.51,373.49,1800,1800,1032.91,1511.23,87.16,1800,1800
agricola_p04.pddl,1800,201.46,123.47,1800,29.9,50.55,337.94,154.96,1800,1800,123.93,1800,44.2,1800,1800
agricola_p05.pddl,1415.16,695.42,1438.25,1800,83.97,125.81,191.81,368.22,1800,1800,1141.09,1800,47.43,1800,1800
agricola_p06.pddl,1800,1247.32,1750.04,1800,101,158.2,396.58,586.34,1800,1800,1800,1800,254.96,1800,1800
agricola_p07.pddl,1800,243.77,928.53,1800,69.94,97.45,754.31,234.94,1800,1800,918.92,1800,69.5,1800,1800
agricola_p08.pddl,1800,1452.96,1800,1800,447.21,499.1,1800,366.79,1800,1800,1800,1800,347.24,1800,1800
agricola_p09.pddl,1800,1337.39,1800,1800,973.4,1053.74,779.18,914.04,1800,1800,1800,1800,240.83,1800,1800
agricola_p10.pddl,1800,1384.85,1800,1800,168.46,197.37,1800,1800,1800,1800,1370.33,1800,144.31,1800,1800
agricola_p11.pddl,1800,1800,1800,1800,321.18,377.56,1336.55,675.76,1800,1800,1800,1800,286.39,1800,1800
agricola_p12.pddl,1800,1235.28,1800,1800,810.75,939.8,1800,1800,1800,1800,1800,1800,315.46,1800,1800
agricola_p13.pddl,1800,1800,1800,1800,953.09,912.97,1800,635.33,1800,1800,1800,1800,631.01,1800,1800
agricola_p14.pddl,1800,1800,1800,1800,1732.32,1730.45,1800,892.4,1800,1800,1800,1800,648.67,1800,1800
agricola_p15.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
agricola_p16.pddl,1800,1800,1800,1800,941.97,55.38,1800,658.43,1800,1800,1800,1800,1522.63,1800,1800
agricola_p17.pddl,1800,1800,1800,1800,1066,1135.15,1800,1629.61,1800,1800,1800,1800,1800,1800,1800
agricola_p18.pddl,1800,1800,1800,1800,36.74,1250.33,1800,1800,1800,1800,1800,1800,1800,1800,1800
agricola_p19.pddl,1800,1800,1800,1800,16.39,1002.96,1800,1800,1800,1800,1800,1800,1800,1800,1800
agricola_p20.pddl,1800,1800,1800,1800,25.67,1287.13,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p01.pddl,0.25,1.36,1.58,0.55,1.32,1.49,0.42,0.65,0.26,0.27,1.58,200.15,0.82,1.62,1.81
caldera_p02.pddl,0.27,1.95,1.82,25.08,1.34,2.75,1.27,2.15,0.31,0.3,1.85,200.5,1.11,3.84,4.02
caldera_p03.pddl,0.27,1.84,1.8,27.19,1.36,3.76,1.35,2.46,0.32,0.31,1.81,200.54,1.09,3.08,3.25
caldera_p04.pddl,0.29,2.04,1.8,20.51,1.37,2.8,1.28,2.11,0.31,0.32,1.79,200.45,1.09,3.59,3.78
caldera_p05.pddl,1.33,70.96,2.99,158.73,2.5,58.27,42.54,100.35,1.42,1.49,2.98,205.41,7.17,1265.4,1268.39
caldera_p06.pddl,2.02,9.79,19.61,586.64,4.19,199.25,119.72,339.16,2.42,2.48,19.68,210.74,8.07,187.29,187.56
caldera_p07.pddl,1.05,81.13,137.67,207.97,2.17,54.03,41.71,135.15,1.12,1.15,137.89,204.45,5.99,634,634.7
caldera_p08.pddl,0.7,12.35,7.34,61.48,1.82,2.39,12.47,20.55,0.73,0.77,7.26,202.35,3.13,134.34,134.53
caldera_p09.pddl,1800,1113.77,1006.01,1800,48.07,53.73,1102.55,1315.87,47.94,38.03,994.95,553.17,1800,1800,1800
caldera_p10.pddl,1168.38,963.42,931.01,1800,10.1,9.13,321.5,471.03,9.14,6.73,933.02,485.17,257,1800,1800
caldera_p11.pddl,1800,1109.92,1003.15,1800,49.02,1605.53,808.99,915.17,47.94,36.94,983.29,731.17,1800,1800,1800
caldera_p12.pddl,1211.19,1800,956.48,1800,6.95,1800,582.08,910.76,17.83,15.34,950.13,460.97,1800,1800,1800
caldera_p13.pddl,1800,1800,1800,1800,11.21,1800,1800,1800,1800,585.66,1800,1800,1800,1800,1800
caldera_p14.pddl,1800,1800,1800,1800,12.34,1800,1800,1800,1800,1541.58,1800,1800,1800,1800,1800
caldera_p15.pddl,1800,1800,1800,1800,13.88,1800,1800,1800,1800,1640.91,1800,1800,1800,1800,1800
caldera_p16.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p17.pddl,1800,1800,1800,1800,1800,592.17,1800,1800,33.52,1800,1800,1800,1800,1800,1800
caldera_p18.pddl,1800,1800,1800,1800,17.88,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p19.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p20.pddl,1800,1800,1800,1800,14.78,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera-split_p01.pddl,2.43,3.25,3.32,20.11,4.37,5.86,5,4.4,1.55,1.65,3.21,203.3,2.53,7.25,7.39
caldera-split_p02.pddl,2.3,3.84,3.78,56.52,5.87,4.99,22.3,13.17,1.73,1.04,3.51,205.56,3.13,9.2,9.97
caldera-split_p03.pddl,1.61,6.86,3.16,60.36,4.66,12.14,8.67,9.56,1.42,1.41,3.37,202.66,2.35,7.69,7.6
caldera-split_p04.pddl,2.68,3.71,3.92,44.31,5.17,7.74,50.37,18.64,1.99,1.96,3.55,203.36,3.06,10.66,10.54
caldera-split_p05.pddl,20.08,244.82,22.21,198.51,8.46,10.34,1800,909.5,6.72,7.16,22.16,403.16,5.41,427.84,429.99
caldera-split_p06.pddl,36.04,53.61,77.81,392.03,15.84,19.07,1800,915.84,15.94,16.09,77.34,753.6,8.51,1800,1800
caldera-split_p07.pddl,19.57,16.97,12.75,209.75,6.21,8.78,70.01,906.61,4.94,5.18,12.76,388.4,5.26,295.85,296.49
caldera-split_p08.pddl,5.45,8.38,7.69,81.1,6.47,5.9,84.68,203.81,2.99,3.24,7.52,236.98,3.69,111.28,111.61
caldera-split_p09.pddl,1800,985.39,928.25,1800,1446.06,6.46,189.28,911.61,1448.56,1516.44,1800,1800,310.1,1800,1800
caldera-split_p10.pddl,1800,1800,1800,1800,6.95,8.65,99.72,927.97,161.27,125.12,1800,1800,160.17,1800,1800
caldera-split_p11.pddl,1800,1800,1800,1800,1800,1800,1054.05,1484.37,1800,1800,1800,1800,1800,1800,1800
caldera-split_p12.pddl,1800,1699.29,1800,1800,1800,1800,469.07,971.08,1800,1800,1800,1800,1800,1800,1800
caldera-split_p13.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera-split_p14.pddl,1800,1800,1800,1800,3.9,523.21,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera-split_p15.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera-split_p16.pddl,1800,1800,1800,1800,3.29,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera-split_p17.pddl,1800,1800,1800,1800,1800,193.65,1235.47,1800,1800,1800,1800,1800,1800,1800,1800
caldera-split_p18.pddl,1800,1800,1800,1800,184.65,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera-split_p19.pddl,1800,6.3,1800,1800,3.59,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera-split_p20.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
data-network_p01.pddl,0.34,1.68,2.15,0.34,2.17,5.1,4.16,15.06,0.35,0.37,2.29,200.19,0.72,4.28,4.46
data-network_p02.pddl,0.38,1.82,2.41,0.64,2.38,6.31,5.46,11.75,0.64,0.65,2.42,202.59,0.83,5.94,6.14
data-network_p03.pddl,106.42,69.68,82.52,0.55,3.18,3.51,15.16,58.32,0.56,0.58,82.64,200.74,4.32,185.05,184.6
data-network_p04.pddl,1800,961.43,905.37,11.29,72.68,73.51,57.87,1800,42.02,42.62,913.1,303.45,31.7,1800,1800
data-network_p05.pddl,1688.23,964.46,923.91,2.04,3.43,3.22,1800,1800,2.4,2.45,931.66,211.93,45.91,1800,1800
data-network_p06.pddl,1800,712.03,921.54,1800,1.52,52.84,1800,1800,1800,1800,908.89,344.51,82.06,1800,1800
data-network_p07.pddl,1800,1800,1800,1800,3.44,3.88,1800,1800,1800,1800,697.37,1800,1800,1800,1800
data-network_p08.pddl,1800,1800,1312.62,1800,1800,1800,1800,1800,1800,1800,911.91,1800,1800,1800,1800
data-network_p09.pddl,0.61,5.02,4.6,2.05,2.61,10.44,8.46,20.6,3.13,3.27,4.67,210.73,1.07,25.83,26
data-network_p10.pddl,226.28,216.03,614.33,6.42,3.03,3.36,20.07,41.36,20.8,21.52,445.24,206.02,5.71,964.29,965
data-network_p11.pddl,0.55,33.29,34.22,0.68,3.15,3.62,15.71,48.86,0.67,0.7,34.38,200.98,1.26,137.72,137.65
data-network_p12.pddl,1688.78,231.38,721.05,0.79,1.88,3.83,12.51,95.86,0.79,0.81,725.91,203.91,1.44,493.85,493.05
data-network_p13.pddl,392.49,520.15,552.14,1.88,1.75,10.04,47.53,153.58,1.73,1.75,616.42,204.93,5.83,872.04,870.62
data-network_p14.pddl,1800,1800,1800,1800,3.82,4.59,1800,1800,1800,1800,1800,1800,1800,1800,1800
data-network_p15.pddl,20.59,26.68,29.55,0.96,3.74,4.33,29.71,125.22,0.95,0.97,3.12,201.78,1.71,244.17,244.88
data-network_p16.pddl,1800,1800,1800,1800,1.79,2.49,1800,1800,1800,1800,1800,1800,1800,1800,1800
data-network_p17.pddl,1800,626.82,735.39,87.54,4.73,5.73,1800,1800,62.43,63.12,880.48,207.72,156.39,1800,1800
data-network_p18.pddl,1800,1800,1800,1800,5.33,6.28,1800,1800,1800,1800,1800,1800,1800,4.43,1800
data-network_p19.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,286.75,1800,1800,1800
data-network_p20.pddl,1800,1800,1800,1800,1800,1800,1800,938.68,1800,1800,1800,1800,1800,1800,1800
nurikabe_p01.pddl,0.18,0.51,1.02,0.17,1.25,1.66,0.2,0.18,0.17,0.18,1.07,198.33,0.36,0.47,0.66
nurikabe_p02.pddl,0.18,0.51,1.05,0.17,1.26,1.64,0.19,0.18,0.18,0.17,1.01,198.34,0.35,0.47,0.66
nurikabe_p03.pddl,0.32,0.86,1.35,0.46,3.74,5.01,0.38,0.43,0.33,0.33,1.36,198.87,0.61,1.49,1.68
nurikabe_p04.pddl,0.33,1.14,1.54,1.92,1.53,4.38,0.82,0.73,0.37,0.35,1.58,199.48,0.72,2.44,2.62
nurikabe_p05.pddl,0.72,5.51,4.61,25.08,4.76,5.55,3.48,11.16,0.75,0.85,4.65,200.27,3.36,57.69,58
nurikabe_p06.pddl,0.74,1.69,2.06,4.29,3.1,12.55,2.6,2.62,0.77,0.78,2.08,201.13,1.2,7.13,7.27
nurikabe_p07.pddl,1.77,102.7,91.18,81.99,2.9,10.57,6.51,151.1,1.84,1.92,91.09,201.62,16.71,1093.5,1094.72
nurikabe_p08.pddl,1.8,6.92,4.29,6.61,3,6.33,3.25,42.75,1.97,2.01,4.31,201.75,2.78,60.32,60.93
nurikabe_p09.pddl,5.53,9.81,908.56,161.98,5.72,14.06,28.81,906.29,4.76,6.04,8.62,204.3,15.33,1800,1800
nurikabe_p10.pddl,9.83,783.56,911.84,42.99,4.74,23.34,23.93,958.02,7.44,7.47,917.27,204.56,32.55,1800,1800
nurikabe_p11.pddl,475.12,995.3,1065.02,1800,138.78,775.97,587.66,935.81,760.28,933.02,1060.4,241.26,1800,1800,1800
nurikabe_p12.pddl,244.53,571.52,570.75,880.35,496.04,484.05,304.51,922.89,456.12,549.42,11.6,228.65,10.65,1800,1800
nurikabe_p13.pddl,1800,1800,1800,1800,640.9,1800,1800,1800,1800,1800,1800,1733.42,1800,1800,1800
nurikabe_p14.pddl,1800,1094.41,1800,1800,19.63,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
nurikabe_p15.pddl,1800,1800,1800,1800,37.37,402.18,1800,1800,1800,1800,1800,1800,1800,1800,1800
nurikabe_p16.pddl,1800,1800,1800,1800,30.32,401.75,1800,1800,1800,1800,1800,1800,1800,1800,1800
nurikabe_p17.pddl,1800,1800,1800,1800,1383.89,473.06,1800,1800,1800,1800,1800,1800,1800,1800,1800
nurikabe_p18.pddl,1800,1800,1800,1800,44.64,411.88,1800,1800,1800,1800,1800,1800,1800,1800,1800
nurikabe_p19.pddl,1800,1800,1800,1800,79.76,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
nurikabe_p20.pddl,1800,1800,1800,1800,376.44,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis_p01.pddl,0.49,0.71,1.28,0.39,1.7,2,0.42,0.42,0.42,0.42,1.31,198.87,0.59,0.5,0.7
organic-synthesis_p02.pddl,0.45,0.73,1.3,0.44,1.59,2.07,0.46,0.46,0.48,0.47,1.29,198.68,0.61,0.53,0.74
organic-synthesis_p03.pddl,16.64,17.03,17.46,15.84,17.4,35.15,16.12,16.12,16.55,16.57,17.59,214.75,16.76,15.61,3.88
organic-synthesis_p04.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis_p05.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis_p06.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis_p07.pddl,0.64,0.83,1.26,1.43,2.09,2.84,0.64,0.63,0.59,0.58,1.31,195.96,0.78,0.77,1.45
organic-synthesis_p08.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis_p09.pddl,11.61,12.24,13.23,10.65,12.18,33.33,11.49,11.57,11.84,11.87,13.07,206.74,12.66,10.52,5.71
organic-synthesis_p10.pddl,11.8,12.6,13.3,10.97,12.72,33.93,11.69,11.74,12.04,12,13.15,207.01,12.37,10.76,5.87
organic-synthesis_p11.pddl,639.06,715.65,627.77,559.02,553.96,715.23,694.58,694.43,721.91,717.84,716.5,894.29,716.63,613.97,339.15
